Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1547460000.0 136.739 NA 84 391 0 NA NA NA 147 611 0 NA NA NA 873 24067 1440 NA NA NA 1327 12502 1549 NA NA
1547460000.0 136.74 NA 88 442 0 NA NA NA 158 617 0 NA NA NA 849 19492 1102 NA NA NA 1250 7554 1414 NA NA
1547460000.0 136.742 NA 89 343 0 NA NA NA 150 543 0 NA NA NA 775 20501 1493 NA NA NA 1148 12071 1808 NA NA
1547460000.0 136.744 NA 86 433 0 NA NA NA 156 627 0 NA NA NA 779 21514 1340 NA NA NA 1138 12586 1495 NA NA
1547460000.0 136.747 NA 86 353 0 NA NA NA 159 529 0 NA NA NA 871 18794 1482 NA NA NA 1414 9047 1839 NA NA
1547460000.0 136.754 NA 89 355 0 NA NA NA 162 542 0 NA NA NA 914 17207 1559 NA NA NA 1414 9342 1699 NA NA
1547460000.0 136.759 NA 85 392 0 NA NA NA 153 592 0 NA NA NA 828 27140 1485 NA NA NA 1240 13673 1786 NA NA
1547460000.0 136.7611 NA 181 0 NA NA NA NA 287 0 NA NA NA NA 7883 344 NA NA NA NA 8699 915 NA NA NA
1547460000.0 136.762 NA 91 422 0 NA NA NA 163 659 0 NA NA NA 621 20000 790 NA NA NA 596 6820 891 NA NA
1547460000.0 136.765 NA 88 361 0 NA NA NA 158 547 0 NA NA NA 928 23907 1665 NA NA NA 1386 10776 2185 NA NA
1547460000.0 136.772 NA 88 362 0 NA NA NA 157 583 0 NA NA NA 849 21927 1479 NA NA NA 1281 11930 1968 NA NA
1547460000.0 136.7721 NA 170 0 NA NA NA NA 263 0 NA NA NA NA 7483 323 NA NA NA NA 9071 961 NA NA NA
1547460000.0 136.7722 NA 174 0 NA NA NA NA 273 0 NA NA NA NA 9009 289 NA NA NA NA 9252 543 NA NA NA
1547460000.0 136.7801 NA 109 0 NA NA NA NA 182 0 NA NA NA NA 345 231 NA NA NA NA 491 376 NA NA NA
1547460000.0 136.7802 NA 83 0 NA NA NA NA 135 0 NA NA NA NA 275 139 NA NA NA NA 630 271 NA NA NA
1547460000.0 136.7803 NA 115 0 NA NA NA NA 180 0 NA NA NA NA 713 195 NA NA NA NA 1135 320 NA NA NA
1547460000.0 136.791 NA 110 335 0 NA NA NA 193 516 0 NA NA NA 1094 5159 1837 NA NA NA 1828 6758 3291 NA NA
1547460000.0 136.7952 NA 192 0 NA NA NA NA 303 0 NA NA NA NA 3371 141 NA NA NA NA 3421 321 NA NA NA
