Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1546639200.0 1327.0 NA 361 734 0 NA NA NA 2097300 2097440 0 NA NA NA 1878 3932 1879 NA NA NA 1245 3345 2011 NA NA
1546639200.0 1328.0 NA 365 733 0 NA NA NA 2097300 2097450 0 NA NA NA 1815 4561 1582 NA NA NA 1063 3661 1639 NA NA
1546639200.0 1329.0 NA 328 728 0 NA NA NA 2097300 2097450 0 NA NA NA 1942 4573 1675 NA NA NA 1837 4635 1802 NA NA
1546639200.0 1329.1 NA 402 0 NA NA NA NA 2097390 0 NA NA NA NA 18014 226 NA NA NA NA 16410 404 NA NA NA
1546639200.0 133.0 274 316 654 NA NA NA 2097350 2097280 2097440 NA NA NA 7853 1315 4077 NA NA NA 3102 924 3313 NA NA NA
1546639200.0 1330.0 NA 338 810 0 NA NA NA 2097300 2097450 0 NA NA NA 2175 5339 1441 NA NA NA 1871 4675 1529 NA NA
1546639200.0 1331.0 NA 357 733 0 NA NA NA 2097300 2097450 0 NA NA NA 1585 3788 1773 NA NA NA 1037 3387 1892 NA NA
1546639200.0 1332.0 NA 358 726 0 NA NA NA 2097300 2097450 0 NA NA NA 1323 4102 1343 NA NA NA 854 4348 1423 NA NA
1546639200.0 1333.0 NA 363 721 0 NA NA NA 2097300 2097440 0 NA NA NA 1457 4859 1572 NA NA NA 944 4344 1704 NA NA
1546639200.0 1334.0 NA 369 742 0 NA NA NA 2097300 2097450 0 NA NA NA 1923 5136 1576 NA NA NA 1352 3926 1668 NA NA
1546639200.0 1335.0 NA 363 726 0 NA NA NA 2097300 2097440 0 NA NA NA 1567 4790 1526 NA NA NA 1117 4358 1629 NA NA
1546639200.0 1336.0 NA 400 786 0 NA NA NA 2097300 2097460 0 NA NA NA 2269 8097 1420 NA NA NA 1283 4369 1488 NA NA
1546639200.0 1337.0 NA 388 785 0 NA NA NA 2097300 2097460 0 NA NA NA 2604 7655 1790 NA NA NA 2824 4217 1984 NA NA
1546639200.0 1338.0 NA 339 750 0 NA NA NA 2097300 2097450 0 NA NA NA 2129 6031 1516 NA NA NA 1863 4753 1666 NA NA
1546639200.0 1339.0 NA 372 774 0 NA NA NA 2097300 2097450 0 NA NA NA 1542 4973 1316 NA NA NA 1175 3020 1371 NA NA
1546639200.0 134.701 NA 130 647 0 NA NA NA 2097250 2097450 0 NA NA NA 375 16045 2216 NA NA NA 519 7253 2334 NA NA
1546639200.0 134.702 NA 127 378 0 NA NA NA 2097250 2097450 0 NA NA NA 441 28395 2096 NA NA NA 445 19723 2871 NA NA
1546639200.0 134.703 NA 135 441 0 NA NA NA 2097260 2097460 0 NA NA NA 468 38356 2922 NA NA NA 558 38977 3151 NA NA
1546639200.0 134.704 NA 141 647 0 NA NA NA 2097250 2097450 0 NA NA NA 429 27032 2127 NA NA NA 371 14505 2232 NA NA
1546639200.0 134.705 NA 141 715 0 NA NA NA 2097260 2097460 0 NA NA NA 376 22467 2161 NA NA NA 374 8808 2250 NA NA
1546639200.0 134.706 NA 139 522 0 NA NA NA 2097260 2097460 0 NA NA NA 423 27147 2266 NA NA NA 417 12451 2379 NA NA
1546639200.0 134.707 NA 134 476 0 NA NA NA 2097260 2097450 0 NA NA NA 428 23742 2168 NA NA NA 375 9970 2276 NA NA
1546639200.0 134.708 NA 140 694 0 NA NA NA 2097250 2097450 0 NA NA NA 407 19814 1899 NA NA NA 428 7640 1999 NA NA
1546639200.0 134.709 NA 132 900 0 NA NA NA 2097260 2097530 0 NA NA NA 425 23563 2154 NA NA NA 377 8424 2245 NA NA
1546639200.0 134.71 NA 133 675 0 NA NA NA 2097250 2097450 0 NA NA NA 490 17940 2256 NA NA NA 588 8284 3534 NA NA
1546639200.0 134.801 NA 127 480 0 NA NA NA 2097260 2097450 0 NA NA NA 397 16210 1936 NA NA NA 439 11324 2021 NA NA
1546639200.0 134.802 NA 127 532 0 NA NA NA 2097260 2097450 0 NA NA NA 573 34134 2074 NA NA NA 1213 15329 2170 NA NA
1546639200.0 134.803 NA 127 720 0 NA NA NA 2097260 2097460 0 NA NA NA 462 25026 2069 NA NA NA 615 8598 2151 NA NA
1546639200.0 134.804 NA 130 653 0 NA NA NA 2097260 2097460 0 NA NA NA 413 30812 2097 NA NA NA 387 12088 2249 NA NA
1546639200.0 134.805 NA 131 403 0 NA NA NA 2097260 2097460 0 NA NA NA 524 50839 2544 NA NA NA 602 37011 2642 NA NA
1546639200.0 134.806 NA 129 736 0 NA NA NA 2097260 2097460 0 NA NA NA 425 31873 1964 NA NA NA 436 61582 2085 NA NA
1546639200.0 134.807 NA 278 524 0 NA NA NA 2097280 2097470 0 NA NA NA 1726 31942 2788 NA NA NA 1135 13781 2888 NA NA
